director_id,director_name,gender,gender_label
57436,Christopher Leitch,2,Male
9033,Christopher McQuarrie,0,Unknown
155267,Christopher Miller,2,Male
525,Christopher Nolan,2,Male
20305,Christopher Roberts,2,Male
93133,Christopher Scott Cherot,2,Male
41041,Christopher Smith,2,Male
235820,Christopher Spencer,0,Unknown
41270,Chuck Bowman,2,Male
26713,Chuck Russell,2,Male
141706,Chuck Sheetz,2,Male
51600,Clare Kilner,1,Female
554900,Clark Baker,0,Unknown
9048,Clark Gregg,2,Male
19069,Claude Chabrol,0,Unknown
18209,Claude Miller,2,Male
101399,Claudia Llosa,1,Female
1200528,Claudia Sainte-Luce,0,Unknown
1281387,Clay Kaytis,0,Unknown
190,Clint Eastwood,2,Male
31211,Clive Barker,2,Male
12095,Cody Cameron,2,Male
115677,Coky Giedroyc,1,Female
4967,Colin Higgins,2,Male
1310518,Colin Minihan,0,Unknown
930707,Colin Trevorrow,2,Male
1360439,Collin Joseph Neal,0,Unknown
1288700,Collin Schiffli,0,Unknown
73289,Conor McPherson,0,Unknown
12080,Conrad Vernon,2,Male
21246,Corbin Bernsen,2,Male
35452,Corey Yuen Kwai,0,Unknown
61373,Cory Edwards,2,Male
27436,Costa-Gavras,0,Unknown
61921,Courtney Solomon,2,Male
34692,Craig Bolotin,2,Male
53267,Craig Brewer,2,Male
50767,Craig Gillespie,0,Unknown
303056,Craig Johnson,2,Male
35796,Craig Mazin,2,Male
130051,Craig Moss,0,Unknown
63709,Craig R. Baxley,2,Male
79434,Craig Zobel,0,Unknown
20657,Cristian Mungiu,2,Male
323,Curtis Hanson,2,Male
110618,Cyrus Nowrasteh,2,Male
17520,Cédric Klapisch,2,Male
146026,D. Stevens,0,Unknown
40256,D.J. Caruso,2,Male
65134,DJ Pooh,2,Male
56714,Daisy von Scherler Mayer,1,Female
77062,Damian Nieman,0,Unknown
136495,Damien Chazelle,2,Male
59229,Damien Dante Wayans,2,Male
1263945,Damir Catic,0,Unknown
66039,Damon Santostefano,2,Male
29648,Dan Curtis,2,Male
15892,Dan Fogelman,2,Male
57113,Dan Gilroy,2,Male
11013,Dan Harris,2,Male
69099,Dan Ireland,2,Male
6733,Dan Mazer,2,Male
74626,Dan Reed,2,Male
133406,Dan Rush,2,Male
225976,Dan Scanlon,2,Male
15780,Dan St. Pierre,0,Unknown
568322,Dan Trachtenberg,2,Male
158480,Dan Zukovic,2,Male
82840,Dana Adam Shapiro,2,Male
69696,Daniel Algrant,2,Male
94918,Daniel Barber,2,Male
84061,Daniel Barnz,2,Male
125738,Daniel Espinosa,2,Male
1330499,Daniel Garcia,0,Unknown
208138,Daniel Hsia,2,Male
240740,Daniel Junge,2,Male
57832,Daniel Lee,2,Male
1289580,Daniel Mellitz,0,Unknown
26849,Daniel Myrick,2,Male
774,"Daniel Petrie, Jr.",2,Male
12632,Daniel Sackheim,2,Male
90575,Daniel Schechter,0,Unknown
120245,Daniel Stamm,0,Unknown
74063,Daniel Taplitz,2,Male
21771,Daniela Thomas,1,Female
59911,Daniele Luchetti,0,Unknown
2034,Danny Boyle,2,Male
33279,Danny Cannon,2,Male
518,Danny DeVito,2,Male
56591,Danny Leiner,2,Male
21905,Danny Pang,2,Male
130858,Danny Perez,0,Unknown
1736589,Danny Provenzano,0,Unknown
58822,Danny Steinmann,2,Male
37627,Dany Boon,2,Male
57777,Darin Scott,2,Male
4955,Dario Argento,2,Male
81727,Darnell Martin,1,Female
16730,Darrell James Roodt,0,Unknown
6431,Darren Aronofsky,2,Male
77441,Darren Grant,0,Unknown
2675,Darren Lynn Bousman,2,Male
1514634,Darren Press,0,Unknown
239418,Darren Stein,2,Male
131870,Daryl Wein,2,Male
80537,Dave Borthwick,2,Male
1168852,Dave Carroll,0,Unknown
1101410,Dave Green,0,Unknown
87081,Dave McKean,2,Male
54827,Dave Meyers,0,Unknown
30870,Dave Payne,2,Male
74339,Dave Willis,2,Male
44847,David Anspaugh,2,Male
67910,David Atkins,2,Male
19769,David Ayer,0,Unknown
33183,David Bowers,2,Male
55441,David Boyd,2,Male
108497,David Caffrey,2,Male
2380,David Carson,2,Male
224,David Cronenberg,2,Male
212,David Cross,2,Male
97618,David DeCoteau,2,Male
42994,David Dobkin,2,Male
12640,David Duchovny,2,Male
109692,David E. Talbert,2,Male
557883,David Evans ,0,Unknown
1302082,David F. Sandberg,2,Male
7467,David Fincher,2,Male
5065,David Frankel,2,Male
64141,David Gordon Green,2,Male
2679,David Hackl,2,Male
5446,David Hand,2,Male
10995,David Hayter,2,Male
5892,David Hewlett,2,Male
53212,David Jacobson,2,Male
4759,David Kellogg,2,Male
508,David Koepp,2,Male
23590,David LaChapelle,2,Male
141503,David Lam,0,Unknown
12238,David Lean,2,Male
33317,David Leland,2,Male
16305,David Levien,2,Male
5602,David Lynch,2,Male
155747,David M. Matthews,2,Male
1255,David Mamet,2,Male
48980,David McNally,2,Male
58178,David Mirkin,2,Male
56735,David Moreau,2,Male
33316,David Nutter,0,Unknown
17883,David O. Russell,2,Male
585161,David Oelhoffen,0,Unknown
140372,David Palmer,2,Male
94222,David Pastor,2,Male
4755,David R. Ellis,2,Male
1375378,David Ray,0,Unknown
161858,David Raynr,0,Unknown
558929,David Robert Mitchell,2,Male
991853,David Rodriguez,2,Male
3893,David S. Goyer,2,Male
12920,David S. Ward,2,Male
14409,David Schwimmer,2,Male
86662,David Sington,2,Male
27571,David Slade,2,Male
28239,David Twohy,0,Unknown
22214,David Wain,2,Male
7191,David Webb Peoples,2,Male
52044,David Winning,2,Male
29700,David Winters,2,Male
22012,David Worth,2,Male
11343,David Yates,2,Male
12987,David Zucker,2,Male
19012,Davis Guggenheim,2,Male
51298,Dax Shepard,2,Male
69797,Dean DeBlois,2,Male
15002,Dean Parisot,2,Male
112630,Dean Wright,2,Male
77911,Deb Hagan,1,Female
1162816,Deborah Anderson,0,Unknown
13614,Deborah Kaplan,1,Female
121873,Debra Granik,1,Female
4760,Deepa Mehta,1,Female
71418,Demian Lichtenstein,2,Male
1456123,Dena Seidel,0,Unknown
137427,Denis Villeneuve,2,Male
66960,Dennie Gordon,1,Female
17494,Dennis Dugan,2,Male
52961,Dennis Gansel,2,Male
2778,Dennis Hopper,2,Male
94108,Dennis Iliadis,2,Male
38516,Denys Arcand,2,Male
5292,Denzel Washington,2,Male
119419,Deon Taylor,2,Male
139098,Derek Cianfrance,2,Male
240150,Derek Yee Tung-Sing,0,Unknown
33349,Derick Martini,2,Male
126910,Derrick Borte,2,Male
932013,Deryck Broom,0,Unknown
588701,Des McAnuff,2,Male
113641,Dewey Nicks,0,Unknown
974,Dexter Fletcher,2,Male
76230,Diane English,1,Female
3092,Diane Keaton,1,Female
19333,Dick Richards,0,Unknown
53935,Dito Montiel,2,Male
230157,Dominic Burns,0,Unknown
58498,Dominic Sena,2,Male
32813,Dominique Othenin-Girard,2,Male
40345,Don Bluth,2,Male
58245,Don Coscarelli,2,Male
12824,Don Hahn,2,Male
227439,Don Hall,2,Male
92935,Don Kempf,0,Unknown
65677,Don Mancini,2,Male
27005,Don Michael Paul,2,Male
93419,Don Scardino,2,Male
14773,Don Siegel,2,Male
9108,Don Taylor,2,Male
