actor_id,actor_name,gender,gender_label
1402462,András M. Kecskés,0,Unknown
37934,André Benjamin,2,Male
18177,André Dussollier,2,Male
10029,André Morell,2,Male
52585,André Ramiro,2,Male
20853,André Wilms,0,Unknown
51905,Andrés Gertrúdix,0,Unknown
7371,Andrés Montiel,0,Unknown
62753,Andy Anderson,2,Male
15024,Andy Armstrong,0,Unknown
170635,Andy Buckley,2,Male
82843,Andy Cohn,0,Unknown
25990,Andy Comeau,2,Male
52708,Andy Davoli,0,Unknown
43120,Andy Dick,2,Male
1271,Andy García,2,Male
1327400,Andy Hirsch,0,Unknown
164653,Andy Kaufman,2,Male
25246,Andy Lau,2,Male
74340,Andy Merrill,0,Unknown
52940,Andy Milonakis,2,Male
22810,Andy Nyman,2,Male
63585,Andy On,2,Male
28637,Andy Richter,2,Male
32289,Andy Romano,2,Male
62861,Andy Samberg,2,Male
1333,Andy Serkis,2,Male
1066329,Andy Spencer,0,Unknown
16581,Andy Wood,0,Unknown
63769,Ane Dahl Torp,1,Female
74131,Anessa Ramsey,1,Female
1288320,Anfisa Chernykh,0,Unknown
53764,Angel Aviles,0,Unknown
289370,Angel Coulby,1,Female
37207,Angel David,0,Unknown
22621,Angela Alvarado,1,Female
9780,Angela Bassett,1,Female
121640,Angela Cartwright,1,Female
15276,Angela Featherstone,1,Female
14730,Angela Lansbury,1,Female
42158,Angela Lindvall,1,Female
1033573,Angela McEwan,1,Female
10171,Angela Scoular,0,Unknown
183073,Angela Trimbur,1,Female
65261,Angelica Lee,1,Female
122426,Angeliki Papoulia,1,Female
114373,Angelina Armani,1,Female
11701,Angelina Jolie,1,Female
23877,Angelina Peláez,0,Unknown
1066655,Angelique Pretorius,1,Female
93615,Angell Conwell,1,Female
56963,Angelo Barra Moreira,2,Male
97985,Angelo Rossitto,2,Male
4301,Angie Dickinson,1,Female
58312,Angie Everhart,1,Female
52929,Angie Harmon,1,Female
1265629,Angourie Rice,1,Female
1714,Angus Barnett,2,Male
58475,Angus MacInnes,2,Male
2464,Angus Macfadyen,2,Male
59117,Angus Sampson,2,Male
79584,Angus Scrimm,2,Male
77117,Angus T. Jones,2,Male
7353,Angélica Aragón,1,Female
1198895,Ania Sowinski,0,Unknown
15563,Anika Noni Rose,1,Female
72118,Anil Kapoor,2,Male
1187706,Anil Kumar,0,Unknown
162359,Anil Raman,2,Male
70785,Anita Briem,1,Female
20974,Anita Gillette,1,Female
44917,Anita Mui,0,Unknown
98012,Anita Page,1,Female
27394,Anita Zagaria,1,Female
558562,Anita de Moulin,0,Unknown
208679,Anja Savcic,1,Female
5657,Anjelica Huston,1,Female
51993,Anjul Nigam,0,Unknown
1339136,Anmol,0,Unknown
124654,Ann Altieri,1,Female
1511583,Ann Bortolotti,0,Unknown
219201,Ann Curry,1,Female
59260,Ann Cusack,1,Female
60389,Ann Dalrymple,1,Female
10543,Ann Dere,0,Unknown
43366,Ann Dowd,1,Female
107445,Ann Gillis,1,Female
96175,Ann Lynn,1,Female
37042,Ann Magnuson,1,Female
151759,Ann Morgan Guilbert,1,Female
86136,Ann Prentiss,1,Female
156587,Ann Ryerson,1,Female
984582,Anna Anissimova,0,Unknown
549587,Anna Ardova,1,Female
